Resource Title,URL,Organisation / Authors,Year,Type,Relevance,Tags,Related Risks,Notes,Issue,Maintainer Notes
OpenInfra Foundation Policy for AI Generated Content,https://openinfra.org/legal/ai-policy,OpenInfra Foundation,2025,Policy,Explains the steps engineers should take to ensure safe and transparent use of AI in open source software.,,,Originally published in 2023 and updated in 2024 and 2025.,,
Journal of Open Source Software Policies,https://joss.readthedocs.io/en/latest/policies.html,Journal of Open Source Software,2026,Policy,"Includes a section on ""AI usage policy"" which details the expectations of authors and reviewers around AI usage.",,,,,
ADSA position paper on generative AI,https://github.com/Academic-Data-Science-Alliance/rse-ai-position-statement,Alliance for Data Science and AI,2026,Position paper,Community developed position paper on AI use in the research software workspace. This has been developed through a number of workshops designed to engage the RSE community.,,,You can add your signature to the paper to show your support for the key messages!,,
"Assistance for reading, not writing",https://x28newblog.wordpress.com/2026/06/25/assistance-for-reading-not-writing/,Matthias Melcher (retired from Heidelberg University),2026,Position paper,Argues (amongst others) that GenAI-assisted coding is less sustainable.,,,,,
Embracing AI with integrity,https://ukrio.org/wp-content/uploads/Embracing-AI-with-integrity.pdf,UK Research Integrity Office,2025,Guidance,"Covers general use of AI in research, with some applications to research software engineering.",,,,,
Artificial Intelligence Playbook for UK Government,https://assets.publishing.service.gov.uk/media/67aca2f7e400ae62338324bd/AI_Playbook_for_the_UK_Government__12_02_.pdf,"Department for Science, Innovation & Technology; Government Digital Services",2025,Guidance,"Covers general use of AI in the public sector. Includes detailed scenarios relevant to the risk register, including AI-generated software examples.",,,,,
The state of AI for research software engineering,https://www.youtube.com/watch?v=lRruD_LZFJM,"Steve van Tuyl, Consortium for the Advancement of Scientific Software",2026,Report,A YouTube video detailing the results of a survey on GenAI use in the RSE community.,,,Slides are available at https://zenodo.org/records/18166308.,,
Is AI After My Job? Navigating the Future of Research Software Engineering,https://www.software.ac.uk/blog/ai-after-my-job-navigating-future-research-software-engineering,Nadine Spychala; Colin Sauze; Bryn Noel Ubald; Scott Archer-Nicholls; Software Sustainability Institute,2026,Report,A blog post developed at Collaborations Workshop 2025 weighing the risks and opportunities of Generative AI in the RSE workspace.,,,,,
Preparing JOSS for a generative AI future: From code to human creativity and design,https://blog.joss.theoj.org/2026/01/preparing-joss-for-a-generative-ai-future,Arfon M. Smith; Journal of Open Source Software,2026,Report,"Discusses the ways in which JOSS, and the open-source software community more broadly, are adapting to generative AI.",,,,,
Assertion Errors: Why AI-Generated Research Code Still Needs Epistemic Infrastructure,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7185258,"Joseph Shingleton, James Hetherington, Ana Basiri",2026,Position paper,"The paper looks at the impact of AI in research software from an epistemological perspective. It provides a useful perspective for understanding the necessity for researchers to have a deep understanding of the code they develop, in a way that might be different to generic software engineers.","Research Integrity, Wider Societal Impacts, People and Professional Practice, Epistemic",,This is a pre-print of an article currently under review.,#200,
